PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
3oosA, 0.9528795811518325, 0.8864468864468864, 0.8754578754578755, 0.7949640287769785, 0.8095238095238095
3kxwA, 0.9177718832891246, 0.8568872987477638, 0.8204667863554758, 0.8033898305084746, 0.7567084078711985
3p48A, 0.8235294117647058, 0.7322834645669292, 0.7637795275590551, 0.7414965986394558, 0.7401574803149606
1xocA, 0.9559228650137741, 0.8968253968253969, 0.8928571428571429, 0.8288461538461539, 0.8154761904761905
3gzxB, 0.9714285714285714, 0.9032258064516129, 0.8817204301075269, 0.8440860215053764, 0.8655913978494624
3nx3A, 0.9420289855072463, 0.8694516971279374, 0.8720626631853786, 0.8050632911392405, 0.8302872062663186
2e9mA, 0.9129129129129129, 0.8197424892703863, 0.8369098712446352, 0.7931769722814499, 0.8090128755364807
1dqsA, 0.9110320284697508, 0.8136482939632546, 0.8267716535433071, 0.8040712468193384, 0.8346456692913385
2wnvA, 0.9101123595505618, 0.816793893129771, 0.8015267175572519, 0.8283582089552238, 0.7424242424242424
3c3mA, 0.9431818181818182, 0.9487179487179487, 0.8888888888888888, 0.8405797101449275, 0.8034188034188035
2hiyA, 0.8809523809523809, 0.8192090395480226, 0.807909604519774, 0.7868852459016393, 0.768361581920904
3p1gA, 0.9166666666666666, 0.8726114649681529, 0.89171974522293, 0.8181818181818182, 0.8598726114649682
3h05A, 0.9016393442622951, 0.8838709677419355, 0.8709677419354839, 0.8305084745762712, 0.832258064516129
1p71A, 1.0, 0.9148936170212766, 0.9042553191489362, 0.776595744680851, 0.925531914893617
1ej2A, 0.9640287769784173, 0.9161676646706587, 0.9041916167664671, 0.8287292817679558, 0.9161676646706587
3girA, 0.9254901960784314, 0.889196675900277, 0.8753462603878116, 0.8015267175572519, 0.7839335180055401
1s5uD, 0.9375, 0.9457364341085271, 0.8837209302325582, 0.8043478260869565, 0.813953488372093
2wwxA, 0.8776978417266187, 0.8402366863905325, 0.8284023668639053, 0.7828571428571428, 0.8470588235294118
1q40B, 0.8916666666666667, 0.8055555555555556, 0.7388888888888889, 0.8538812785388128, 0.7111111111111111
3qgzA, 0.9634146341463414, 0.8947368421052632, 0.8771929824561403, 0.7936507936507936, 0.8333333333333334
3frqA, 0.9622641509433962, 0.9027027027027027, 0.9405405405405406, 0.8769230769230769, 0.9513513513513514
2zhjA, 0.9448529411764706, 0.9111111111111111, 0.9142857142857143, 0.8633540372670807, 0.9015873015873016
2j9wA, 0.9310344827586207, 0.9108910891089109, 0.8910891089108911, 0.8725490196078431, 0.8514851485148515
3peaB, 0.9562841530054644, 0.948, 0.924, 0.8544061302681992, 0.816
2p4kA, 0.8734177215189873, 0.8282828282828283, 0.7929292929292929, 0.7777777777777778, 0.8181818181818182
1wbiH, 0.9418604651162791, 0.859504132231405, 0.8842975206611571, 0.8372093023255814, 0.743801652892562
3e05B, 0.95, 0.90625, 0.8854166666666666, 0.8725490196078431, 0.8645833333333334
3k6qB, 0.8888888888888888, 0.8222222222222222, 0.8296296296296296, 0.7769784172661871, 0.8222222222222222
1gk9A, 0.9745222929936306, 0.9278846153846154, 0.9134615384615384, 0.8692307692307693, 0.8509615384615384
2fctA, 0.8657407407407407, 0.805921052631579, 0.7913907284768212, 0.7603833865814696, 0.7730263157894737
1euhC, 0.9861495844875346, 0.9472573839662447, 0.919831223628692, 0.8589473684210527, 0.8502109704641351
3b51X, 0.9198396793587175, 0.8830963665086888, 0.8688783570300158, 0.8185975609756098, 0.8278041074249605
